Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cptac accession number]	Characteristics[data file]	Characteristics[associated file uri]	Characteristics[fraction identifier]	Characteristics[instrument]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[cleavage agent details]	Material Type	Extract Name	Assay Name	Description	Comment[Label]	Comment[fragment mass tolerance] 	Comment[precursor mass tolerance]
Sample 2132	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F09.raw	9	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2135;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2132	Sample 2132				
Sample 2133	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F10.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F10.raw	10	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2136;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2133	Sample 2133				
Sample 2134	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F11.raw	11	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2137;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2134	Sample 2134				
Sample 2135	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F12.raw	12	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2138;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2135	Sample 2135				
Sample 2136	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F13.raw	13	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2139;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2136	Sample 2136				
Sample 2137	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F14.raw	14	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2140;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2137	Sample 2137				
Sample 2138	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F15.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F15.raw	15	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2141;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2138	Sample 2138				
Sample 2139	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F16.raw	16	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2142;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2139	Sample 2139				
Sample 2140	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F17.raw	17	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2143;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2140	Sample 2140				
Sample 2141	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F18.raw	18	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2144;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2141	Sample 2141				
Sample 2142	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F19.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F19.raw	19	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2145;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2142	Sample 2142				
Sample 2143	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F20.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F20.raw	20	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2146;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2143	Sample 2143				
Sample 2144	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F21.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F21.raw	21	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2147;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2144	Sample 2144				
Sample 2145	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F22.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F22.raw	22	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2148;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2145	Sample 2145				
Sample 2146	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F23.raw	23	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2149;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2146	Sample 2146				
Sample 2147	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180623_fusion_zhw_TMT11_liver28_pho_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Phosphoproteome/liver28_Phosphoproteome_raw/20180623_fusion_zhw_TMT11_liver28_pho_F24.raw	24	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2150;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 2147	Sample 2147				
Sample 2148	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F01.raw	1	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2151;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2148	Sample 2148				
Sample 2149	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F02.raw	2	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2152;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2149	Sample 2149				
Sample 2150	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F03.raw	3	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2153;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2150	Sample 2150				
Sample 2151	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F04.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F04.raw	4	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2154;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2151	Sample 2151				
Sample 2152	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F05.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F05.raw	5	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2155;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2152	Sample 2152				
Sample 2153	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F06.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F06.raw	6	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2156;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2153	Sample 2153				
Sample 2154	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F07.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F07.raw	7	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2157;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2154	Sample 2154				
Sample 2155	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F08.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F08.raw	8	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2158;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2155	Sample 2155				
Sample 2156	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F09.raw	9	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2159;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2156	Sample 2156				
Sample 2157	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F10.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F10.raw	10	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2160;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2157	Sample 2157				
Sample 2158	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F11.raw	11	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2161;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2158	Sample 2158				
Sample 2159	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F12.raw	12	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2162;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2159	Sample 2159				
Sample 2160	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F13.raw	13	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2163;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2160	Sample 2160				
Sample 2161	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180414_HF_ZHW_total_liver28_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver28_Proteome/liver28_Proteome_raw/20180414_HF_ZHW_total_liver28_F14.raw	14	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:2164;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 2161	Sample 2161				
